load_perc,portal_shares,portal_cpu_usage,stress_cpu_uasge,job_exec_time
25,1024,null,null,
25,1024,null,null,
31,1024,null,null,
31,1024,1.8165280935381474,0,
31,1024,1.6491566577999999,0,
31,1024,2.6251227323658877,0,
37,1024,3.013080861757156,0,
37,1024,3.3851952309612163,0,
43,1024,3.7782228594774536,0,
43,1024,4.161368786562444,0,
43,1024,4.582486156121442,0,
50,1024,4.5158985081066785,0.6279357603380397,
62,1024,4.926750964387761,0.6886310511512449,
62,1024,4.906633868255163,1.692077092140567,
68,1024,5.291024909528761,1.9126989363018423,
68,1024,5.326357234221857,2.4630961762161516,
75,1024,5.20909337177143,2.3518591649833334,
75,1024,5.772481028007086,3.500747477653202,
81,1024,5.8064539022589,4.108556993956623,
81,1024,6.122012094783122,4.389975696351784,
93,1024,6.254048820502293,4.9280604292125245,
93,1024,6.8689453609744575,5.206197656907488,
87,128,7.1145326346798905,5.1006592641965485,
87,128,7.1145326346798905,5.269270111813606,
87,128,7.148959551252156,5.011759605519463,
87,128,7.148959551252156,5.242454251008909,
87,128,6.809240198223197,5.082767275992243,
87,128,7.049501788103274,5.2213111345087535,
81,128,6.766122371910923,5.0243599772299765,
81,128,6.9919891020242595,5.077600641152182,
81,128,6.345277607830663,4.557263364742592,
81,1024,7.010477682458618,4.557263364742592,
87,1024,7.216879810925703,4.744284120834566,
87,1024,7.42029448969585,4.530390531403598,
81,1024,7.693097673340379,3.9076245855297347,
81,1024,7.820987701929728,3.699385996414231,
81,1024,8.110269808425835,3.699385996414231,
81,1024,8.229741142171425,2.909980328360969,
81,1024,8.531413276848557,1.894258990164018,
81,1024,8.603475549601304,1.8090266016941885,
81,1024,8.51923644033826,1.7239035322347946,
81,1024,9.188436157705372,0.8664892466636769,
81,1024,9.18843615770537,0.821463318212059,
81,1024,9.606772450216921,0,
81,1024,9.606772450216921,0,
81,1024,9.58223744088913,0,
81,1024,9.582237440889136,0,
87,1024,9.103906747883983,0.8358121955728017,
87,1024,9.10390674788398,0.8980304438001026,
100,1024,8.665335681143397,1.7090365064605288,
100,1024,8.665335681143397,1.9376444057775166,
100,128,8.176609873495172,2.687452089759753,
106,128,8.022401179106568,3.6179770817311203,
106,128,7.536437108520522,4.564680788617361,
112,128,6.951428118063534,5.380471779697164,
112,128,6.8863557808313525,5.380471779697163,
118,128,6.303548864352692,5.914434715288974,
118,128,6.303548864352689,6.018416357364513,1:153
112,128,6.184398864740811,5.7732322038778126,1:153
112,128,6.184398864740811,5.695587992538888,1:153
112,128,5.553092853743188,5.695587992538888,1:153
112,128,6.230216693764641,5.579351502895238,1:153
106,128,5.527912134470618,5.579351502895238,1:153
106,128,6.22514946466949,5.492174135662502,1:153
106,128,6.225149464669488,5.492174135662502,1:153
106,128,6.236371599730143,5.492174135662502,1:153
100,128,6.236371599730143,5.492174135662502,1:153
100,128,6.21321952857974,5.492174135662502,1:153
100,128,6.21321952857974,5.492174135662502,1:153
100,128,6.64626071169473,5.552488036964022,1:153
100,128,6.64626071169473,5.552488036964022,1:153
100,128,7.126673687190815,4.607713761381299,1:153
100,128,7.126673687190815,4.4133782680274365,1:153
93,128,7.636360907351332,3.692259382193163,1:153
93,128,7.636360907351332,3.5168141785673344,1:153
93,128,7.674043143980807,2.5594012318535424,1:153
93,128,8.254032526970725,2.4286849066615552,1:153
93,128,8.299561849710045,1.30257154189495,1:153
93,128,8.955889736354774,1.1567993736296132,1:153
87,128,8.955889736354774,1.1567993736296132,1:153
87,128,9.6444524119113,0.20326996426430033,1:153
81,128,9.6444524119113,0,1:153
81,1024,9.728374415844954,0,1:153
93,1024,9.749503439150935,0,1:153
93,128,9.339908907014447,0,1:153
100,128,9.286212836296222,0,1:153
100,128,8.669638703369522,0,1:153
106,128,8.0344922859446,0,1:153
106,128,8.0344922859446,0,1:153
112,128,7.43573156694221,0,1:153
112,128,7.43573156694221,0,1:153
118,128,6.7331236611573235,0,1:153
125,128,6.404476938796288,null,1:153
125,128,6.07602275655636,null,1:153
118,128,6.07602275655636,null,1:153
118,128,6.019563649640249,null,1:153
118,128,6.019563649640249,null,1:153
112,128,6.084299191405622,null,1:153
112,128,5.267621288280914,null,1:153
106,128,5.959365055278685,null,1:153
106,128,5.959365055278685,null,1:153
100,128,5.872813108424353,null,1:153
100,128,5.872813108424353,null,1:153
100,128,5.853251223031853,0,1:153
100,128,5.8532512230318545,0,1:153
93,128,6.2494509368065785,0,1:153
93,128,6.2494509368065785,0,1:153
93,128,6.17000076027033,0,1:153
93,128,6.987607850927833,0,1:153
87,128,6.987607850927833,0,1:153
87,128,7.59073999359392,0,1:153
93,128,7.59073999359392,0,1:153
93,128,8.210506968828085,0,1:153
93,128,8.210506968828087,0,2:136
87,128,8.831116364523988,0,2:136
87,128,8.831116364523988,0,2:136
87,128,9.43465716341499,0,2:136
87,128,9.43465716341499,0,2:136
87,128,9.485875079418902,0,2:136
87,128,9.485875079418902,0,2:136
93,128,8.859465995152888,0,2:136
93,128,8.859465995152888,0,2:136
